number,latitude,longitude
238,-30.950388888888888,94.84902777777778
239,-31.767944444444442,95.77719444444445
240,-32.379222222222225,96.48891666666667
241,-33.145833333333336,97.40447222222222
242,-33.76936111111111,98.16916666666667
243,-34.43091666666666,99.00144444444445
244,-35.03402777777777,99.78016666666666
245,-35.63605555555556,100.57772222222222
246,-36.234861111111115,101.39230555555557
247,-36.761583333333334,102.12744444444444
248,-37.47602777777778,103.15438888888889
249,-38.05083333333333,104.00722222222223
250,-38.60080555555556,104.84708333333333
251,-39.09886111111111,105.62908333333333
252,-39.64586111111111,106.51302777777778
253,-40.288444444444444,107.58741666666666
254,-40.82066666666667,108.50908333333334
255,-41.38861111111111,109.52702777777777
256,-41.90391666666667,110.48386111111111
257,-42.4105,111.45783333333334
258,-42.898805555555555,112.43061111111112
259,-43.338944444444444,113.33827777777778
260,-43.93194444444444,114.61169444444444
261,-44.38772222222222,115.63369444444444
262,-44.94044444444444,116.92905555555556
263,-45.358222222222224,117.95305555555557
264,-45.83525,119.17494444444445
265,-46.35958333333333,120.5906111111111
266,-46.79586111111111,121.83405555555555
267,-47.27686111111111,123.28394444444444
268,-47.68175,124.578
269,-48.06194444444444,125.86369444444443
270,-48.38622222222222,127.02230555555555
271,-48.79402777777778,128.57383333333334
272,45.279694444444445,-74.04494444444444
273,45.74766666666667,-72.85624999999999
274,46.23547222222222,-71.55419444444445
275,46.66922222222222,-70.3358611111111
276,47.11727777777778,-69.00922222222222
277,47.51980555555556,-67.75055555555555
278,47.85125,-66.66000000000001
279,48.26830555555556,-65.20825
280,48.64072222222222,-63.825
281,49.02775,-62.284305555555555
282,49.40175,-60.674861111111106
283,49.715472222222225,-59.21291666666667
284,50.039833333333334,-57.56716666666667
285,50.27730555555556,-56.254416666666664
286,50.51913888888889,-54.79841666666667
287,50.73222222222223,-53.38791666666667
288,50.96208333333334,-51.687194444444444
289,51.16327777777778,-49.98330555555556
290,51.292027777777776,-48.74030555555556
291,51.44575,-47.01680555555556
292,51.55236111111111,-45.57736111111112
293,51.63813888888889,-44.16163888888889
294,51.712361111111115,-42.56388888888888
295,51.758694444444444,-41.132666666666665
296,51.7865,-39.668638888888886
297,51.794555555555554,-38.24652777777778
298,51.78597222222222,-36.97427777777778
299,51.75827777777778,-35.53497222222222
300,51.712361111111115,-34.1205
301,51.64663888888889,-32.683055555555555
302,51.57322222222223,-31.42463888888889
303,51.47616666666667,-30.052500000000002
304,51.358583333333335,-28.65175
305,51.223111111111116,-27.26097222222222
306,51.06944444444445,-25.876194444444444
307,50.91463888888889,-24.627833333333335
308,50.727361111111115,-23.262777777777778
309,50.52222222222222,-21.905638888888888
310,50.245333333333335,-20.24713888888889
311,50.02963888888889,-19.063055555555557
312,49.716861111111115,-17.478305555555554
313,49.43747222222222,-16.170416666666668
314,49.17894444444444,-15.035055555555555
315,48.85266666666667,-13.68886111111111
316,48.535222222222224,-12.45836111111111
317,48.21413888888889,-11.282083333333334
318,47.902166666666666,-10.1965
319,47.47691666666667,-8.79636111111111
320,47.10313888888889,-7.631972222222223
321,46.75519444444444,-6.597333333333333
322,46.361333333333334,-5.477333333333333
323,45.98988888888889,-4.465916666666667
324,45.521972222222225,-3.247611111111111
325,45.13261111111111,-2.276638888888889
326,44.650305555555555,-1.122638888888889
327,44.15852777777778,0.003638888888888889
328,43.52108333333333,1.3955555555555554
329,42.9175,2.650111111111111
330,42.370555555555555,3.738916666666667
331,41.8165,4.7995833333333335
332,41.10663888888889,6.1018333333333326
333,40.48713888888889,7.190944444444445
334,39.903416666666665,8.180194444444444
335,39.24963888888889,9.249083333333333
336,38.655055555555556,10.187944444444444
337,38.12072222222222,11.006583333333333
338,37.57680555555556,11.81713888888889
339,37.01508333333334,12.631555555555556
340,36.49275,13.369416666666668
341,35.672333333333334,14.493027777777776
342,34.97225,15.420027777777777
343,34.25116666666667,16.346527777777776
344,33.61838888888889,17.13736111111111
345,32.932944444444445,17.972166666666666
346,32.35111111111111,18.66397222222222
347,31.553694444444446,19.588472222222222
348,30.856527777777778,20.375777777777778
349,30.138222222222222,21.167722222222224
350,29.356555555555556,22.008777777777777
351,28.65213888888889,22.749222222222222
352,27.942722222222223,23.47922222222222
353,27.143083333333333,24.284222222222223
354,26.423111111111112,24.993833333333335
355,25.693333333333335,25.69922222222222
356,24.880222222222223,26.469694444444443
357,24.137888888888888,27.15963888888889
358,23.39075,27.84188888888889
359,22.545250000000003,28.600083333333334
360,21.79238888888889,29.263472222222223
361,21.042555555555555,29.913916666666665
362,20.198527777777777,30.634527777777777
363,19.445055555555555,31.268027777777778
364,18.66611111111111,31.913888888888888
365,17.78261111111111,32.63594444444444
366,17.012305555555557,33.256972222222224
367,16.239527777777777,33.8725
