E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_136.jpg,"43 deg 32' 21.70"" N","24 deg 56' 47.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_137.jpg,"42 deg 56' 49.10"" N","26 deg 10' 47.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_138.jpg,"42 deg 24' 20.40"" N","27 deg 15' 36.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_139.jpg,"41 deg 51' 21.10"" N","28 deg 18' 55.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_140.jpg,"41 deg 13' 26.00"" N","29 deg 28' 50.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_141.jpg,"40 deg 37' 33.30"" N","30 deg 32' 25.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_142.jpg,"40 deg 1' 5.90"" N","31 deg 34' 40.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_143.jpg,"39 deg 21' 4.90"" N","32 deg 40' 30.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_144.jpg,"38 deg 43' 38.20"" N","33 deg 39' 54.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_145.jpg,"38 deg 5' 6.90"" N","34 deg 38' 59.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_146.jpg,"37 deg 27' 38.60"" N","35 deg 34' 37.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_147.jpg,"36 deg 53' 10.10"" N","36 deg 24' 18.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_148.jpg,"36 deg 14' 31.10"" N","37 deg 18' 25.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_149.jpg,"35 deg 35' 51.30"" N","38 deg 10' 59.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_150.jpg,"34 deg 52' 8.60"" N","39 deg 8' 38.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_151.jpg,"34 deg 12' 30.10"" N","39 deg 59' 25.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_152.jpg,"33 deg 32' 15.80"" N","40 deg 49' 35.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_153.jpg,"32 deg 47' 13.60"" N","41 deg 44' 12.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_154.jpg,"32 deg 5' 51.70"" N","42 deg 33' 1.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_155.jpg,"31 deg 19' 4.30"" N","43 deg 26' 48.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_156.jpg,"30 deg 31' 52.50"" N","44 deg 19' 35.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_157.jpg,"29 deg 52' 42.40"" N","45 deg 2' 21.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_158.jpg,"29 deg 4' 24.70"" N","45 deg 53' 52.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_159.jpg,"28 deg 16' 52.60"" N","46 deg 43' 20.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_160.jpg,"27 deg 34' 39.20"" N","47 deg 26' 19.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_161.jpg,"26 deg 55' 17.60"" N","48 deg 5' 37.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_162.jpg,"26 deg 11' 48.90"" N","48 deg 48' 13.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_163.jpg,"25 deg 23' 13.00"" N","49 deg 34' 52.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_164.jpg,"24 deg 38' 50.40"" N","50 deg 16' 38.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_165.jpg,"23 deg 58' 16.00"" N","50 deg 54' 9.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_166.jpg,"23 deg 7' 22.80"" N","51 deg 40' 23.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_167.jpg,"22 deg 20' 43.30"" N","52 deg 22' 1.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_168.jpg,"21 deg 33' 36.40"" N","53 deg 3' 20.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_169.jpg,"20 deg 49' 9.30"" N","53 deg 41' 43.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_170.jpg,"20 deg 1' 36.80"" N","54 deg 22' 9.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_171.jpg,"19 deg 15' 29.20"" N","55 deg 0' 48.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_172.jpg,"18 deg 37' 56.70"" N","55 deg 31' 52.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_173.jpg,"17 deg 50' 21.70"" N","56 deg 10' 46.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_174.jpg,"17 deg 2' 2.80"" N","56 deg 49' 45.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_175.jpg,"16 deg 19' 53.00"" N","57 deg 23' 22.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_176.jpg,"15 deg 34' 17.50"" N","57 deg 59' 19.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_177.jpg,"14 deg 39' 35.00"" N","58 deg 41' 57.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_178.jpg,"13 deg 56' 18.50"" N","59 deg 15' 18.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_179.jpg,"13 deg 10' 6.20"" N","59 deg 50' 35.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_180.jpg,"12 deg 26' 27.20"" N","60 deg 23' 38.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_181.jpg,"11 deg 43' 59.20"" N","60 deg 55' 31.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_182.jpg,"10 deg 57' 57.40"" N","61 deg 29' 49.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_183.jpg,"10 deg 15' 40.80"" N","62 deg 1' 5.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_184.jpg,"9 deg 31' 6.60"" N","62 deg 33' 51.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_185.jpg,"8 deg 46' 53.90"" N","63 deg 6' 8.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_186.jpg,"8 deg 2' 23.50"" N","63 deg 38' 28.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_187.jpg,"7 deg 23' 16.60"" N","64 deg 6' 44.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_188.jpg,"6 deg 40' 7.50"" N","64 deg 37' 46.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_189.jpg,"5 deg 55' 49.20"" N","65 deg 9' 31.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_190.jpg,"5 deg 8' 12.40"" N","65 deg 43' 29.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_191.jpg,"4 deg 15' 38.60"" N","66 deg 20' 51.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_192.jpg,"3 deg 33' 8.20"" N","66 deg 50' 59.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_193.jpg,"2 deg 46' 59.30"" N","67 deg 23' 37.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_194.jpg,"2 deg 8' 5.80"" N","67 deg 51' 4.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_195.jpg,"1 deg 29' 5.80"" N","68 deg 18' 34.60"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_196.jpg,"0 deg 42' 19.50"" N","68 deg 51' 31.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_197.jpg,"0 deg 11' 9.40"" S","69 deg 29' 10.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_198.jpg,"0 deg 50' 10.00"" S","69 deg 56' 39.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_199.jpg,"1 deg 44' 18.40"" S","70 deg 34' 48.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_200.jpg,"2 deg 23' 1.80"" S","71 deg 2' 6.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_201.jpg,"3 deg 16' 38.40"" S","71 deg 39' 59.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_202.jpg,"3 deg 55' 30.40"" S","72 deg 7' 30.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_203.jpg,"4 deg 48' 33.30"" S","72 deg 45' 10.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_204.jpg,"5 deg 36' 57.40"" S","73 deg 19' 39.50"" E"
