ai_output_corrected_img_0_4.jpg.csv,845.92,8.25,15,2,14
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1435.5,14.0,19,9,10
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1153.53,11.25,10,11,2
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1743.11,17.0,18,16,2
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1076.62,10.5,11,10,1
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,2076.35,20.25,20,19,4
ai_output_corrected_img_0_4.jpg.csv,1332.96,13.0,20,5,15
ai_output_corrected_img_0_4.jpg.csv,1179.16,11.5,10,8,8
ai_output_corrected_img_0_4.jpg.csv,1332.96,13.0,14,12,2
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1281.7,12.5,10,15,7
ai_output_corrected_img_0_4.jpg.csv,1332.96,13.0,12,14,2
ai_output_corrected_img_0_4.jpg.csv,1179.16,11.5,14,9,5
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1563.67,15.25,27,4,24
ai_output_corrected_img_0_4.jpg.csv,1127.89,11.0,14,8,6
ai_output_corrected_img_0_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_4.jpg.csv,1435.5,14.0,23,7,20
ai_output_corrected_img_0_4.jpg.csv,769.02,7.5,8,7,1
ai_output_corrected_img_0_4.jpg.csv,1512.4,14.75,16,11,10
ai_output_corrected_img_0_4.jpg.csv,1025.36,10.0,9,11,2
ai_output_corrected_img_0_4.jpg.csv,845.92,8.25,10,7,4
ai_output_corrected_img_109_1.jpg.csv,1486.61,29.0,12,46,34
ai_output_corrected_img_109_1.jpg.csv,1384.08,27.0,10,44,34
ai_output_corrected_img_10_1.jpg.csv,1355.83,14.75,21,7,17
ai_output_corrected_img_10_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_1.jpg.csv,1516.69,16.5,19,11,8
ai_output_corrected_img_10_1.jpg.csv,1355.83,14.75,19,10,10
ai_output_corrected_img_10_1.jpg.csv,183.84,2.0,2,2,0
ai_output_corrected_img_10_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_1.jpg.csv,1103.05,12.0,12,8,8
ai_output_corrected_img_10_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_1.jpg.csv,1493.71,16.25,14,18,5
ai_output_corrected_img_10_1.jpg.csv,781.33,8.5,9,2,12
ai_output_corrected_img_10_1.jpg.csv,1355.83,14.75,22,7,16
ai_output_corrected_img_10_1.jpg.csv,1171.99,12.75,16,9,8
ai_output_corrected_img_10_1.jpg.csv,1217.95,13.25,14,10,9
ai_output_corrected_img_10_1.jpg.csv,1493.71,16.25,24,7,17
ai_output_corrected_img_10_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1011.13,11.0,13,9,4
ai_output_corrected_img_10_2.jpg.csv,965.17,10.5,16,4,14
ai_output_corrected_img_10_2.jpg.csv,1792.46,19.5,18,21,3
ai_output_corrected_img_10_2.jpg.csv,1378.81,15.0,17,13,4
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1263.91,13.75,18,12,11
ai_output_corrected_img_10_2.jpg.csv,1309.87,14.25,22,6,17
ai_output_corrected_img_10_2.jpg.csv,712.39,7.75,11,2,10
ai_output_corrected_img_10_2.jpg.csv,620.47,6.75,9,4,6
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1677.56,18.25,19,15,11
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1080.07,11.75,15,13,7
ai_output_corrected_img_10_2.jpg.csv,1746.5,19.0,20,20,3
ai_output_corrected_img_10_2.jpg.csv,1332.85,14.5,20,9,11
ai_output_corrected_img_10_2.jpg.csv,1516.69,16.5,18,15,3
ai_output_corrected_img_10_2.jpg.csv,988.15,10.75,17,7,10
ai_output_corrected_img_10_2.jpg.csv,1470.73,16.0,16,16,0
ai_output_corrected_img_10_2.jpg.csv,1424.77,15.5,25,6,19
ai_output_corrected_img_10_2.jpg.csv,1447.75,15.75,20,12,9
ai_output_corrected_img_10_2.jpg.csv,1286.89,14.0,20,8,12
ai_output_corrected_img_10_2.jpg.csv,1126.03,12.25,13,11,3
ai_output_corrected_img_10_2.jpg.csv,758.35,8.25,12,4,8
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1516.69,16.5,20,10,12
ai_output_corrected_img_10_2.jpg.csv,1355.83,14.75,17,8,10
ai_output_corrected_img_10_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_2.jpg.csv,1194.97,13.0,22,4,18
ai_output_corrected_img_10_2.jpg.csv,1332.85,14.5,12,17,5
ai_output_corrected_img_10_2.jpg.csv,1401.79,15.25,21,9,12
ai_output_corrected_img_10_2.jpg.csv,1355.83,14.75,15,15,1
ai_output_corrected_img_10_2.jpg.csv,1401.79,15.25,15,12,10
ai_output_corrected_img_10_2.jpg.csv,597.49,6.5,8,5,3
ai_output_corrected_img_10_2.jpg.csv,1194.97,13.0,20,6,14
ai_output_corrected_img_10_2.jpg.csv,1309.87,14.25,17,14,6
ai_output_corrected_img_10_2.jpg.csv,1332.85,14.5,15,14,14
ai_output_corrected_img_10_2.jpg.csv,942.19,10.25,12,9,3
ai_output_corrected_img_10_2.jpg.csv,1378.81,15.0,12,18,6
ai_output_corrected_img_10_2.jpg.csv,919.21,10.0,12,8,4
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1240.93,13.5,17,10,7
ai_output_corrected_img_10_3.jpg.csv,1286.89,14.0,21,7,14
ai_output_corrected_img_10_3.jpg.csv,1516.69,16.5,18,15,3
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1103.05,12.0,17,7,10
ai_output_corrected_img_10_3.jpg.csv,1149.01,12.5,14,11,3
ai_output_corrected_img_10_3.jpg.csv,1378.81,15.0,21,9,12
ai_output_corrected_img_10_3.jpg.csv,620.47,6.75,11,3,9
ai_output_corrected_img_10_3.jpg.csv,1723.52,18.75,24,13,12
ai_output_corrected_img_10_3.jpg.csv,827.29,9.0,12,6,6
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1103.05,12.0,11,13,2
ai_output_corrected_img_10_3.jpg.csv,1309.87,14.25,21,8,13
ai_output_corrected_img_10_3.jpg.csv,965.17,10.5,13,8,5
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1240.93,13.5,15,12,3
ai_output_corrected_img_10_3.jpg.csv,1103.05,12.0,12,12,0
ai_output_corrected_img_10_3.jpg.csv,1378.81,15.0,19,6,13
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1332.85,14.5,21,8,13
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1149.01,12.5,21,4,17
ai_output_corrected_img_10_3.jpg.csv,1240.93,13.5,16,13,7
ai_output_corrected_img_10_3.jpg.csv,1149.01,12.5,16,6,16
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,965.17,10.5,13,6,7
ai_output_corrected_img_10_3.jpg.csv,1539.67,16.75,15,18,4
ai_output_corrected_img_10_3.jpg.csv,1401.79,15.25,16,14,2
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,1309.87,14.25,27,1,27
ai_output_corrected_img_10_3.jpg.csv,1240.93,13.5,24,3,21
ai_output_corrected_img_10_3.jpg.csv,1011.13,11.0,16,6,10
ai_output_corrected_img_10_3.jpg.csv,1355.83,14.75,16,13,3
ai_output_corrected_img_10_3.jpg.csv,1057.09,11.5,20,3,17
ai_output_corrected_img_10_3.jpg.csv,1103.05,12.0,13,11,2
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_3.jpg.csv,735.37,8.0,11,5,6
ai_output_corrected_img_10_3.jpg.csv,1654.58,18.0,28,8,20
ai_output_corrected_img_10_3.jpg.csv,1470.73,16.0,26,6,20
ai_output_corrected_img_10_3.jpg.csv,919.21,10.0,13,7,6
ai_output_corrected_img_10_3.jpg.csv,183.84,2.0,3,1,2
ai_output_corrected_img_10_3.jpg.csv,1424.77,15.5,24,7,17
ai_output_corrected_img_10_3.jpg.csv,91.92,1.0,1,1,0
ai_output_corrected_img_10_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_4.jpg.csv,1401.79,15.25,23,10,13
ai_output_corrected_img_10_4.jpg.csv,1539.67,16.75,22,16,15
ai_output_corrected_img_10_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_4.jpg.csv,965.17,10.5,10,11,1
ai_output_corrected_img_10_4.jpg.csv,1378.81,15.0,21,12,9
ai_output_corrected_img_10_4.jpg.csv,1126.03,12.25,18,7,12
ai_output_corrected_img_10_4.jpg.csv,1034.11,11.25,13,9,5
ai_output_corrected_img_10_4.jpg.csv,1194.97,13.0,21,4,18
ai_output_corrected_img_10_4.jpg.csv,1286.89,14.0,18,10,8
ai_output_corrected_img_10_4.jpg.csv,1608.61,17.5,21,14,7
ai_output_corrected_img_10_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_4.jpg.csv,114.9,1.25,1,2,1
ai_output_corrected_img_10_4.jpg.csv,1562.65,17.0,23,11,12
ai_output_corrected_img_10_4.jpg.csv,1378.81,15.0,19,6,14
ai_output_corrected_img_10_4.jpg.csv,1103.05,12.0,18,6,12
ai_output_corrected_img_10_4.jpg.csv,1034.11,11.25,11,12,1
ai_output_corrected_img_10_4.jpg.csv,1838.42,20.0,24,16,8
ai_output_corrected_img_10_4.jpg.csv,1149.01,12.5,16,7,9
ai_output_corrected_img_10_4.jpg.csv,1103.05,12.0,14,10,4
ai_output_corrected_img_10_4.jpg.csv,1378.81,15.0,17,13,4
ai_output_corrected_img_10_4.jpg.csv,1401.79,15.25,15,14,4
ai_output_corrected_img_10_4.jpg.csv,1240.93,13.5,17,10,7
ai_output_corrected_img_10_4.jpg.csv,1171.99,12.75,16,5,12
ai_output_corrected_img_10_4.jpg.csv,1355.83,14.75,14,15,1
ai_output_corrected_img_10_4.jpg.csv,1493.71,16.25,16,16,1
ai_output_corrected_img_10_4.jpg.csv,1057.09,11.5,10,13,3
ai_output_corrected_img_10_4.jpg.csv,1631.59,17.75,20,17,3
ai_output_corrected_img_10_4.jpg.csv,1149.01,12.5,12,13,1
ai_output_corrected_img_10_4.jpg.csv,1378.81,15.0,16,14,2
ai_output_corrected_img_10_4.jpg.csv,1011.13,11.0,23,1,22
ai_output_corrected_img_10_4.jpg.csv,1585.63,17.25,16,18,2
ai_output_corrected_img_10_4.jpg.csv,1700.54,18.5,25,10,17
ai_output_corrected_img_10_4.jpg.csv,919.21,10.0,15,5,10
ai_output_corrected_img_10_4.jpg.csv,1240.93,13.5,11,16,5
ai_output_corrected_img_10_4.jpg.csv,1332.85,14.5,22,7,15
ai_output_corrected_img_10_4.jpg.csv,1516.69,16.5,17,14,7
ai_output_corrected_img_10_4.jpg.csv,1240.93,13.5,11,16,5
ai_output_corrected_img_10_4.jpg.csv,1217.95,13.25,14,11,6
ai_output_corrected_img_10_4.jpg.csv,1286.89,14.0,23,5,18
ai_output_corrected_img_10_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_4.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_10_4.jpg.csv,1608.61,17.5,19,16,3
ai_output_corrected_img_110_1.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_110_3.jpg.csv,417.51,7.75,3,11,9
ai_output_corrected_img_110_3.jpg.csv,1387.19,25.75,7,44,38
ai_output_corrected_img_110_3.jpg.csv,1643.08,30.5,28,33,5
ai_output_corrected_img_110_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
